"st","state","year","democracy_mcmc","democracy_mcmc_sd","democracy_mcmc_se","democracy_additive"
"NM","New Mexico",2014,0.784323900210447,0.283822328664382,0.00283822328664382,0.0419966865581768
"NM","New Mexico",2013,0.913125528247104,0.283455524447674,0.00283455524447674,0.611605012969417
"NM","New Mexico",2012,0.909279833006839,0.286015454664237,0.00286015454664237,0.60847687229017
"NM","New Mexico",2011,0.972281066799539,0.280467166252418,0.00280467166252418,0.467745921509026
"NM","New Mexico",2010,0.972567539951141,0.285671454149762,0.00285671454149762,0.474070774116841
"NM","New Mexico",2009,0.82625898561277,0.285264910559103,0.00285264910559103,0.350453854359948
"NM","New Mexico",2008,0.827651845782134,0.285707351705965,0.00285707351705965,0.356850353523633
"NM","New Mexico",2007,0.723820532635132,0.284887283587839,0.00284887283587839,0.226917524694063
"NM","New Mexico",2006,0.805398500783764,0.284434875277532,0.00284434875277532,0.461194228750539
"NM","New Mexico",2005,0.720121583162984,0.286184701463897,0.00286184701463897,0.200612209958576
"NM","New Mexico",2004,0.796409744665715,0.282465220448709,0.00282465220448709,0.433258840116
"NM","New Mexico",2003,0.466392759363812,0.282203916021842,0.00282203916021842,0.255976268969602
"NM","New Mexico",2002,0.470362330987316,0.285348949874465,0.00285348949874465,0.252458064024697
"NM","New Mexico",2001,0.760869483994375,0.283106389015515,0.00283106389015515,0.372694572764421
"NM","New Mexico",2000,0.728579835782575,0.284769559406231,0.00284769559406231,0.254339853089843
"NY","New York",2023,0.653386401504018,0.284211499066523,0.00284211499066523,1.25097274486449
"NY","New York",2022,0.656313584909294,0.283593775662837,0.00283593775662837,1.25097274486449
"NY","New York",2021,0.641484260666957,0.286813536935293,0.00286813536935293,1.27505056231112
"NY","New York",2020,0.586535822527896,0.284870840588161,0.00284870840588161,1.04573961173817
"NY","New York",2019,0.507601687678311,0.283440554346346,0.00283440554346346,0.529056851565091
"NY","New York",2018,0.413140267579681,0.287347088307504,0.00287347088307504,-0.0442205248672958
"NY","New York",2017,0.408985674362553,0.281951012266079,0.00281951012266079,-0.0744302102676134
"NY","New York",2016,0.411220092359893,0.280479456699152,0.00280479456699152,-0.0744302102676134
"NY","New York",2015,0.214411848392438,0.284071851517018,0.00284071851517018,-0.180377629546542
"NY","New York",2014,0.215167718641046,0.281715872744573,0.00281715872744573,-0.180377629546542
"NY","New York",2013,0.220041027485719,0.288089925664756,0.00288089925664756,-0.471124621318089
"NY","New York",2012,0.232424095594645,0.282348179803025,0.00282348179803025,-0.436227889216467
"NY","New York",2011,0.0828467180577405,0.288805108501374,0.00288805108501374,-0.896856177870303
"NY","New York",2010,0.078819181965721,0.285770511599504,0.00285770511599504,-0.897173755648552
"NY","New York",2009,-0.0601895249952378,0.283890190484749,0.00283890190484749,-1.09827130521606
"NY","New York",2008,-0.0687446367346394,0.286008317139728,0.00286008317139728,-1.1906504546081
"NY","New York",2007,-0.54765127244491,0.285846366404881,0.00285846366404881,-1.26717051365487
"NY","New York",2006,-0.631379276183265,0.285041504540912,0.00285041504540912,-1.48786252950462
"NY","New York",2005,-0.457132730893319,0.288692814230442,0.00288692814230442,-1.12248649351956
"NY","New York",2004,-0.455897113115846,0.288275491543487,0.00288275491543487,-1.12206007459699
"NY","New York",2003,-0.616339597545521,0.287750340513165,0.00287750340513165,-1.25008724839564
"NY","New York",2002,-0.607430671354456,0.287149683732073,0.00287149683732073,-1.20746830129678
"NY","New York",2001,-0.577804599975791,0.284876251984197,0.00284876251984197,-1.24973485853044
"NY","New York",2000,-0.582624272522386,0.287175798573818,0.00287175798573819,-1.25177852890289
"NC","North Carolina",2023,-0.307232635635877,0.284158477397303,0.00284158477397303,1.08806632221854
"NC","North Carolina",2022,-0.172707591194268,0.285637107117174,0.00285637107117174,1.3173772727915
"NC","North Carolina",2021,-0.24432942024195,0.286381705128617,0.00286381705128617,1.0110838919111
"NC","North Carolina",2020,-0.164758625800075,0.28494334220448,0.0028494334220448,1.24039484248405
"NC","North Carolina",2019,-1.149063333754,0.289436138144221,0.00289436138144221,0.220694275058701
"NC","North Carolina",2018,-1.18120205731783,0.284945734763959,0.00284945734763959,-0.00861667551425341
"NC","North Carolina",2017,-1.72700338819027,0.286172052686786,0.00286172052686786,-0.557476350897409
"NC","North Carolina",2016,-1.8583173072916,0.287893182631654,0.00287893182631654,-0.786787301470363
"NC","North Carolina",2015,-2.28940226726328,0.289382230137955,0.00289382230137955,-0.856536393185613
"NC","North Carolina",2014,-2.28572255918982,0.285265836584151,0.00285265836584151,-0.856536393185613
"NC","North Carolina",2013,-2.13413242221357,0.286207800949258,0.00286207800949258,-0.816673541287074
"NC","North Carolina",2012,-1.87918415675868,0.285897313001368,0.00285897313001368,-0.177329019027295
"NC","North Carolina",2011,0.7614479575212,0.285028512617256,0.00285028512617256,1.23378488013902
"NC","North Carolina",2010,0.773424155537334,0.280798242525599,0.00280798242525599,1.21947339494294
"NC","North Carolina",2009,0.863644340808455,0.286913643325826,0.00286913643325826,1.41756774651889
"NC","North Carolina",2008,0.844651075804731,0.2831942803126,0.002831942803126,1.36977491202665
"NC","North Carolina",2007,0.945293005998737,0.288508804696196,0.00288508804696196,1.52016758972424
"NC","North Carolina",2006,0.892541469162468,0.283879796559449,0.00283879796559449,1.26681717834766
"NC","North Carolina",2005,0.931768069967509,0.28505199759545,0.0028505199759545,1.42180834094701
"NC","North Carolina",2004,0.922529047662778,0.284564515650834,0.00284564515650834,1.37683579697239
"NC","North Carolina",2003,0.620056726482361,0.283930794720213,0.00283930794720213,1.18417954351018
"NC","North Carolina",2002,0.605894106872003,0.28334718325636,0.0028334718325636,1.11331712827352
"NC","North Carolina",2001,0.385505077959885,0.284402870523674,0.00284402870523674,1.04258356745049
"NC","North Carolina",2000,0.392556656237743,0.280364652304175,0.00280364652304175,1.00770271929314
"ND","North Dakota",2023,0.588441787985512,0.283944804162033,0.00283944804162033,1.167433257663
"ND","North Dakota",2022,0.587797546094943,0.287689966068095,0.00287689966068095,1.167433257663
"ND","North Dakota",2021,0.599376197687325,0.287794480112602,0.00287794480112602,1.23102213953423
"ND","North Dakota",2020,0.59108704419282,0.285064092555106,0.00285064092555106,1.23102213953423
"ND","North Dakota",2019,0.593125688957545,0.286131297643161,0.00286131297643161,1.04914188508139
"ND","North Dakota",2018,0.584153023205941,0.281506745651682,0.00281506745651682,0.819830934508432
"ND","North Dakota",2017,0.770815003578252,0.284133062103405,0.00284133062103405,0.775106961578879
"ND","North Dakota",2016,0.908789778006904,0.283795187919643,0.00283795187919643,1.00441791215183
"ND","North Dakota",2015,0.98646253007798,0.284121486123964,0.00284121486123964,1.20715396892827
"ND","North Dakota",2014,0.989756781993629,0.286056071087032,0.00286056071087032,1.20715396892827
"ND","North Dakota",2013,1.01248081666451,0.282007313682872,0.00282007313682872,1.14205381606678
"ND","North Dakota",2012,1.00162627939562,0.283068181235055,0.00283068181235055,1.11787319132088
"ND","North Dakota",2011,0.858756673116925,0.286177259862076,0.00286177259862076,1.02563928324064
"ND","North Dakota",2010,0.86649927651574,0.283718819715671,0.00283718819715671,1.05079611142598
"ND","North Dakota",2009,1.08159953041276,0.283959276637349,0.00283959276637349,1.20387558307819
"ND","North Dakota",2008,1.07217192789866,0.284171027542656,0.00284171027542656,1.19816791145418
"ND","North Dakota",2007,1.19087837625398,0.286113007027793,0.00286113007027793,1.20737824884921
"ND","North Dakota",2006,1.27200416541927,0.283771550040872,0.00283771550040872,1.45115463682976
"ND","North Dakota",2005,1.1683848054824,0.285181652835976,0.00285181652835976,1.16905617430238
"ND","North Dakota",2004,1.17426221307765,0.288856652530676,0.00288856652530676,1.17374968193727
"ND","North Dakota",2003,1.37701139492326,0.282124438815075,0.00282124438815075,1.30972261627481
"ND","North Dakota",2002,1.45936684200559,0.285290184090793,0.00285290184090793,1.53435907054247
"ND","North Dakota",2001,1.05584175881222,0.285093640126347,0.00285093640126347,1.31044576055185
"ND","North Dakota",2000,1.05892240158716,0.286157599667782,0.00286157599667782,1.30865317887292
"OH","Ohio",2023,-0.920621502883526,0.283100248188508,0.00283100248188508,0.199569043096878
"OH","Ohio",2022,-0.793021222213512,0.286565158140133,0.00286565158140133,0.428879993669832
"OH","Ohio",2021,-1.01674640582003,0.283868334753771,0.00283868334753771,0.244133326006616
"OH","Ohio",2020,-1.02078294060336,0.279160520301205,0.00279160520301205,0.244133326006616
"OH","Ohio",2019,-1.18114349570227,0.282601659071052,0.00282601659071052,-0.136688708180972
"OH","Ohio",2018,-1.24794090667796,0.281238565063802,0.00281238565063802,-0.671747592851199
"OH","Ohio",2017,-1.57512049712881,0.283895264956421,0.00283895264956421,-0.860339810191066
